1,,4110,7420,20,2%,400
,kW,,,,,
2,12 kW,5810,10320,20,2%,400
3,20 kW,8230,11130,20,2%,400
4,35 kW,12020,21210,20,2%,400
5,50 kW,19920,35240,20,2%,400
