,,,,",",,,,
1.0,kW,6940.0,10400.0,,20.0,2% / 0.2%*,6770.0,10320.0
2.0,12 kW,7980.0,12100.0,,20.0,2% / 0.2%,10080.0,15240.0
3.0,20 kW,10970.0,16450.0,,20.0,2% / 0.2%,16940.0,25400.0
4.0,35 kW,15000.0,22500.0,,20.0,2% / 0.2%,29600.0,44440.0
5.0,50 kW,29920.0,45000.0,,20.0,2% / 0.2%,33870.0,50810.0
