,,,,,,,2.0
,2 m2 /,,,,,,
1.0,,810.0,1530.0,20.0,3%,-,
,120lt,,,,,,
,4 m2/,,,,,,
2.0,,1130.0,1770.0,20.0,3%,-,
,160lt,,,,,,
,6 m2/,,,,,,
3.0,,1210.0,1940.0,20.0,3%,-,
,200lt,,,,,,
