method,accuracy,bal_acc,auc,sens_white,spec_red,prec_white,prec_red,f1_white,f1_red,tn,fp,fn,tp
KNN (K=9),0.9704216488357458,0.9614329509113655,0.9664338261979685,0.9791318864774624,0.9437340153452686,0.9815899581589959,0.9365482233502538,0.9803593815294609,0.9401273885350319,369,22,25,1173
Logistic Regression,0.9653870358716173,0.9529255920993642,0.9691536192033612,0.9774624373956594,0.928388746803069,0.9766472060050042,0.9307692307692308,0.9770546516478932,0.9295774647887324,363,28,27,1171
LDA,0.9679043423536816,0.9545950411811672,0.9677851833191723,0.9808013355592654,0.928388746803069,0.9767248545303409,0.9404145077720207,0.978758850478967,0.9343629343629344,363,28,23,1175
QDA,0.9559471365638766,0.9414966973942077,0.96053097874121,0.9699499165275459,0.9130434782608695,0.9715719063545151,0.9083969465648855,0.9707602339181286,0.9107142857142857,357,34,36,1162
Gaussian NB,0.9439899307740718,0.9344282243637093,0.9575272513011882,0.9532554257095158,0.9156010230179028,0.9719148936170213,0.8647342995169082,0.9624947324062368,0.8894409937888199,358,33,56,1142
