feature,importance
total sulfur dioxide,0.5416217997865028
chlorides,0.26093400427809404
sulphates,0.03474562507781475
fixed acidity,0.031202423369055658
density,0.030324378584706258
pH,0.022823591780855204
volatile acidity,0.021056642527970112
residual sugar,0.018729180054564535
citric acid,0.013868521268549518
alcohol,0.013536677936621914
free sulfur dioxide,0.011157155335264948
