model,test_accuracy,test_error
Decision Tree (max_depth=2),0.933920704845815,0.06607929515418498
Bagging (200 estimators),0.9660163624921334,0.03398363750786659
"Random Forest (200 estimators, m=5)",0.9666456891126495,0.033354310887350525
