feature,importance
total sulfur dioxide,0.4791934280596253
chlorides,0.4228403504228339
volatile acidity,0.04851395087725575
sulphates,0.02323051023399444
pH,0.006716893118717476
fixed acidity,0.006532313098294515
density,0.006238010499044172
residual sugar,0.0053320822529011784
citric acid,0.001189952836435769
free sulfur dioxide,0.0002125086008975159
alcohol,0.0
