feature,importance
total sulfur dioxide,0.3590008213960363
chlorides,0.29615490964801316
volatile acidity,0.08418702188547064
sulphates,0.05474618276380961
density,0.04186476830795443
free sulfur dioxide,0.038143046569244755
residual sugar,0.03431238975677389
fixed acidity,0.03114697162567696
pH,0.026573981937952393
citric acid,0.01881472017980765
alcohol,0.015055185929260336
