scheme,n,c,average_total_cost,difference_vs_optimal,percent_higher_than_optimal
cost_optimal_simple_c_le_1,189,1,3522.3559365764686,0.0,0.0
A1_simple_plan,145,3,3912.030463284941,389.6745267084725,11.062894657012269
