question,plan,N,n,c,p1,p2,Pa_p1,producer_risk,Pa_p2,customer_risk,AOQL,p_at_AOQL,ATI_p1,ATI_p2,n1,n2,c1,c2,ASN_p1,ASN_p2
A1,simple_min_n,600,145.0,3.0,0.0065,0.0455,0.9847004139130122,0.015299586086987782,0.09992526890958234,0.09992526890958234,0.010160738598304816,0.02021492704943303,151.96131166957943,554.53400264614,,,,,,
A2,double_min_n1_equal_samples,600,,,0.0065,0.0455,0.9838117613507029,0.016188238649297082,0.0998972787301321,0.0998972787301321,0.010469804160981347,0.019747091745634028,111.29595564895051,552.7645367827427,75.0,75.0,0.0,3.0,103.89854083628828,114.23396162126568
