method,acc_mean,acc_std,bal_mean,bal_std,auc_mean,auc_std
LogReg,0.7535403217177302,0.0053241225921446846,0.5194905141229469,0.010516175580984641,0.9184082616074832,0.01241991870440094
LDA,0.7816827763312766,0.009846091150684706,0.5859111995711535,0.018046828263220467,0.9184082616074832,0.01241991870440094
GNB,0.7915055105753113,0.00976295454468692,0.6081835758656772,0.01812489010685455,0.9175908531788955,0.01063569360164859
