epoch,accuracy,loss,val_accuracy,val_loss
1,0.8988683223724365,0.3659980297088623,0.9501851797103882,0.1664648950099945
2,0.9646090269088745,0.11952214688062668,0.9637036919593811,0.11695545166730881
3,0.9782716035842896,0.07488063722848892,0.9729629755020142,0.09060148149728775
4,0.9861522912979126,0.04945388808846474,0.9737036824226379,0.0931534618139267
5,0.9880658388137817,0.039561979472637177,0.9725925922393799,0.09249497950077057
6,0.9891358017921448,0.03403323143720627,0.9737036824226379,0.10052919387817383
7,0.9910905361175537,0.026780011132359505,0.9750000238418579,0.09404057264328003
8,0.9921604990959167,0.023132309317588806,0.9738888740539551,0.099844790995121
9,0.9942386746406555,0.016847139224410057,0.9768518805503845,0.08517575263977051
10,0.9966872334480286,0.010898982174694538,0.9779629707336426,0.08580679446458817
11,0.9982304573059082,0.006392764393240213,0.9746296405792236,0.09366112947463989
12,0.9986008405685425,0.004887948278337717,0.9748148322105408,0.09873142093420029
13,0.9988682866096497,0.004421680700033903,0.9777777791023254,0.10453729331493378
14,0.9982510209083557,0.005428297910839319,0.9770370125770569,0.10695038735866547
15,0.9983744621276855,0.005297030322253704,0.9768518805503845,0.11042420566082001
16,0.998312771320343,0.00547384237870574,0.9768518805503845,0.10039886832237244
17,0.9985802173614502,0.004110997077077627,0.9774073958396912,0.10590150952339172
18,0.9990534782409668,0.0028694462962448597,0.9770370125770569,0.10467533767223358
19,0.9983744621276855,0.005193874705582857,0.9750000238418579,0.12835347652435303
20,0.9981687068939209,0.00535435788333416,0.9762963056564331,0.11596253514289856
21,0.9973044991493225,0.008197644725441933,0.9768518805503845,0.11621298640966415
22,0.9960494041442871,0.011416678316891193,0.979629635810852,0.11206590384244919
23,0.9990123510360718,0.0034018540754914284,0.9779629707336426,0.12107564508914948
24,0.998353898525238,0.005239259917289019,0.977222204208374,0.12739263474941254
25,0.9984979629516602,0.0039814189076423645,0.9794444441795349,0.11904362589120865
26,0.9986008405685425,0.004490715451538563,0.9759259223937988,0.13301746547222137
27,0.998930037021637,0.0032507393043488264,0.9764814972877502,0.12932895123958588
28,0.9994650483131409,0.0023181617725640535,0.9751851558685303,0.13255606591701508
29,0.9993621110916138,0.0023658478166908026,0.9770370125770569,0.1268775314092636
30,0.9984567761421204,0.004613560624420643,0.9746296405792236,0.13715916872024536
