epoch,accuracy,loss,val_accuracy,val_loss
1,0.8771604895591736,0.42244040966033936,0.9596296548843384,0.1340644508600235
2,0.973353922367096,0.0940418466925621,0.978518545627594,0.07312082499265671
3,0.9817901253700256,0.06120894476771355,0.984074056148529,0.05577492713928223
4,0.9866872429847717,0.046646326780319214,0.9859259128570557,0.0497029609978199
5,0.9888271689414978,0.038171250373125076,0.9868518710136414,0.04726877436041832
6,0.9908847808837891,0.031561803072690964,0.9890740513801575,0.0459856316447258
7,0.9922633767127991,0.026653768494725227,0.9885185360908508,0.04535895586013794
8,0.9932921528816223,0.022994229570031166,0.9877777695655823,0.048662565648555756
9,0.994526743888855,0.02007344737648964,0.9861111044883728,0.05322349816560745
10,0.9951440095901489,0.01777627319097519,0.9850000143051147,0.058027658611536026
11,0.9959259033203125,0.01463707908987999,0.9864814877510071,0.05305444821715355
12,0.9963168501853943,0.012850319035351276,0.9879629611968994,0.048648957163095474
13,0.9966872334480286,0.011148530058562756,0.9875925779342651,0.04816420376300812
14,0.9970164895057678,0.009562196210026741,0.9862962961196899,0.0524161122739315
15,0.9971810579299927,0.009368733502924442,0.984074056148529,0.054300062358379364
16,0.9979218244552612,0.007715878076851368,0.9846296310424805,0.05465243384242058
17,0.9985390901565552,0.005731812212616205,0.9864814877510071,0.05458754301071167
18,0.9987654089927673,0.004708750639110804,0.9868518710136414,0.0552934929728508
19,0.9988477230072021,0.004503253847360611,0.9861111044883728,0.05933314561843872
20,0.9988889098167419,0.004119862802326679,0.9827777743339539,0.07251298427581787
21,0.9989917874336243,0.0037263634148985147,0.985370397567749,0.06378830224275589
22,0.9989094734191895,0.004036009311676025,0.9868518710136414,0.05949580296874046
23,0.9990946650505066,0.0037225859705358744,0.9872221946716309,0.06314476579427719
24,0.9990741014480591,0.0029932570178061724,0.9875925779342651,0.058824434876441956
25,0.998971164226532,0.003472988959401846,0.9883333444595337,0.05935298651456833
26,0.9991975426673889,0.002811807906255126,0.988703727722168,0.061972323805093765
27,0.9996296167373657,0.0017465335549786687,0.9875925779342651,0.06264424324035645
28,0.9991357922554016,0.0026772927958518267,0.987407386302948,0.06933775544166565
29,0.9995679259300232,0.0014276382280513644,0.9892592430114746,0.06382329016923904
30,0.9997530579566956,0.0010278024710714817,0.9881481528282166,0.06544766575098038
