,pred_0,pred_1,pred_2,pred_3,pred_4,pred_5,pred_6,pred_7,pred_8,pred_9
true_0,788,0,0,0,0,1,1,0,1,1
true_1,0,902,0,1,0,0,1,0,1,0
true_2,1,1,806,0,0,0,0,1,1,0
true_3,0,0,2,814,0,3,0,0,1,0
true_4,0,0,2,0,777,0,0,0,1,11
true_5,1,0,0,2,0,702,1,0,0,1
true_6,2,1,2,0,1,4,762,0,3,0
true_7,0,3,5,0,0,0,0,814,1,4
true_8,4,0,4,0,0,0,0,0,764,2
true_9,1,1,0,1,2,3,0,1,0,790
